"","gene_name","gene_id","connectivity","is_nc","module","kTotal","kWithin","log2FC","pval","is_deg"
"ENSG00000203711","C6orf99","ENSG00000203711","0.00684940319937353",TRUE,3,1.4800368045983,0.894052802296541,2.46323485765308,1.55766313076096e-43,TRUE
"ENSG00000116128","BCL9","ENSG00000116128","0.00668314862500813",FALSE,3,2.07059912524841,1.31014661900764,1.27384434222257,4.35140710066295e-46,TRUE
"ENSG00000172172","MRPL13","ENSG00000172172","0.00631599486376273",FALSE,3,3.66652118766882,3.24988839560785,1.17847185822089,8.64133435078887e-31,TRUE
"ENSG00000121594","CD80","ENSG00000121594","0.00626873790750929",FALSE,3,0.961972449782116,0.501844212227996,2.13686883674295,7.70027906140764e-31,TRUE
"ENSG00000163888","CAMK2N2","ENSG00000163888","0.0061746788914106",FALSE,3,0.709697277280197,0.432583239845185,2.62397737517789,9.92864889897462e-30,TRUE
"ENSG00000143315","PIGM","ENSG00000143315","0.00617115380582352",FALSE,3,4.86292340134522,2.68096548609479,0.922667160779674,2.26848055389179e-37,FALSE
"ENSG00000124207","CSE1L","ENSG00000124207","0.00616545319241887",FALSE,3,4.01628878528217,2.56721213913925,0.872963070471418,3.17184620953352e-26,FALSE
"ENSG00000143368","SF3B4","ENSG00000143368","0.00596181680753219",FALSE,3,3.72395186435828,3.43051746072802,0.925768428724203,1.98538372643889e-32,FALSE
"ENSG00000144395","CCDC150","ENSG00000144395","0.00589313015683904",FALSE,3,0.650965329358432,0.522771903380227,0.82109272827135,3.99390196849778e-12,FALSE
"ENSG00000125505","MBOAT7","ENSG00000125505","0.00575843912606936",FALSE,3,3.65119308920979,2.78970892216528,1.37718007771907,1.70305684366783e-40,TRUE
"ENSG00000005156","LIG3","ENSG00000005156","0.00568700674901462",FALSE,3,2.4185870471268,1.12529041079859,0.880301682788651,5.64046564577671e-24,FALSE
"ENSG00000196747","HIST1H2AI","ENSG00000196747","0.00567092693265176",FALSE,3,0.959309647898788,0.262972031214212,4.23530101656644,3.99457972821777e-37,TRUE
"ENSG00000147140","NONO","ENSG00000147140","0.00563270021887359",FALSE,3,5.75754956223707,2.96774464809925,0.504251363498202,2.20293232686598e-23,FALSE
"ENSG00000180921","FAM83H","ENSG00000180921","0.00558396956139247",FALSE,3,5.67290950690785,3.35065669869719,1.87125875493845,8.68897560712538e-26,TRUE
"ENSG00000168275","COA6","ENSG00000168275","0.00555235876564327",FALSE,3,2.78918460954831,2.59402769138658,1.05588180601133,2.44474829242097e-32,TRUE
"ENSG00000154473","BUB3","ENSG00000154473","0.00549983518443031",FALSE,3,2.77375020673878,1.5184450574276,0.967799259809575,2.82668602881973e-33,FALSE
"ENSG00000145979","TBC1D7","ENSG00000145979","0.00547298136298385",FALSE,3,2.11381170545654,1.79959384199199,0.878171725090735,4.10673930301041e-26,FALSE
"ENSG00000203499","FAM83H-AS1","ENSG00000203499","0.00546089280615693",TRUE,3,5.25053223728579,2.88713620851342,2.67068188822042,6.02046986261151e-28,TRUE
"ENSG00000035687","ADSS","ENSG00000035687","0.0054603583820492",FALSE,3,4.04628202666305,2.21718730478657,0.946681833649193,3.61198907103824e-30,FALSE
"ENSG00000184432","COPB2","ENSG00000184432","0.00542811873622838",FALSE,3,4.7857116107679,2.76744997574173,0.931663403186993,6.04806150768777e-46,FALSE
"ENSG00000135074","ADAM19","ENSG00000135074","0.00534088721015958",FALSE,3,0.87625040195152,0.306487625291387,1.82567062412286,3.82337747554174e-34,TRUE
"ENSG00000101935","AMMECR1","ENSG00000101935","0.00533694193724458",FALSE,3,0.913428256803294,0.611622139997534,1.06413655566902,6.17553762479142e-27,TRUE
