"gene_id","log2FC","pval"
"ENSG00000165304",3.49856250820121,6.68042024439542e-45
"ENSG00000104888",-2.93708895011395,8.41652432517504e-45
"ENSG00000154839",3.10009240225662,1.25985818591483e-44
"ENSG00000246090",-2.16524125194253,1.6340064854314e-44
"ENSG00000231999",-1.95444509099285,1.65768598128566e-44
"ENSG00000133816",1.69950448369366,1.91034437476958e-44
"ENSG00000226005",-3.99822459265117,2.68050422851244e-44
"ENSG00000122952",2.50329305949579,2.75923739373512e-44
"ENSG00000169744",-1.87862789292684,3.60679474066302e-44
"ENSG00000135451",3.35444019091666,5.4869957837629e-44
"ENSG00000170271",-2.36485155877034,5.67216893243993e-44
"ENSG00000161980",1.41338836850402,5.97017453552802e-44
"ENSG00000131095",-3.9431407720923,6.16810633112083e-44
"ENSG00000149923",1.1736238735285,7.56473083632985e-44
"ENSG00000139597",-1.43516238777018,7.77957183017502e-44
"ENSG00000116396",-1.80612616427762,7.87677962609176e-44
"ENSG00000143761",1.01560835502979,8.08787467924755e-44
"ENSG00000171357",-1.69250123641823,9.40820839013767e-44
"ENSG00000248144",-4.57024824004188,9.63123972861481e-44
"ENSG00000187800",-2.00231296121327,1.24633187629095e-43
"ENSG00000101938",-4.87633556670957,1.52937037409752e-43
"ENSG00000166851",3.16779932746038,1.53482318453549e-43
"ENSG00000203711",2.46323485765308,1.55766313076096e-43
"ENSG00000175063",4.00370369673411,1.59788651823134e-43
"ENSG00000156298",-2.63803212866021,1.8402412782365e-43
"ENSG00000133466",2.15667003847474,2.57360425774371e-43
"ENSG00000272501",-1.60077323754546,4.78104120577045e-43
"ENSG00000104147",2.30442424425574,4.95177241280466e-43
"ENSG00000172403",-2.4269233461945,5.42780225190137e-43
"ENSG00000137033",-3.34562294239089,5.43233397314985e-43
"ENSG00000115353",-3.26532888807639,6.65424365151199e-43
"ENSG00000116678",-2.65452422855898,6.99384633970043e-43
"ENSG00000035499",2.98152966677087,7.0362805915235e-43
"ENSG00000157456",2.88038323507538,7.29315523947093e-43
"ENSG00000079337",-2.032397198808,8.48920912104196e-43
"ENSG00000272143",-2.39853443586757,8.49315823129916e-43
"ENSG00000154258",-3.48975122038852,8.6668911437461e-43
"ENSG00000079308",-2.45300732174654,1.11399017600226e-42
"ENSG00000230747",-2.33926684893441,1.15634719010086e-42
"ENSG00000171320",3.03936487294597,1.34913510408702e-42
"ENSG00000266524",-4.26420940892287,1.39712699466352e-42
